inst#,actual,predicted,error
1,142.99,204.789,61.799
2,166.8,204.789,37.989
3,276.9,204.789,-72.111
4,214.8,204.789,-10.011
5,?,204.789,?
6,174.81,204.789,29.979
7,254.8,204.789,-50.011
8,265.8,204.789,-61.011
9,242.8,204.789,-38.011
10,233.8,204.789,-29.011
11,177.8,204.789,26.989
12,163.8,204.789,40.989
13,?,204.789,?
14,204.8,204.789,-0.011
15,?,204.789,?
16,?,204.789,?
17,204.8,204.789,-0.011
18,144.8,204.789,59.989
19,148.8,204.789,55.989
20,143.8,204.789,60.989
21,127.8,204.789,76.989
22,198.68,204.789,6.109
23,223.8,204.789,-19.011
24,249.8,204.789,-45.011
25,192.9,204.789,11.889
26,130.81,204.789,73.979
27,207.8,204.789,-3.011
28,255.8,204.789,-51.011
29,146.8,204.789,57.989
30,210.8,204.789,-6.011
31,205.8,204.789,-1.011
32,163.8,204.789,40.989
33,308.8,204.789,-104.011
34,231.3,204.789,-26.511
35,186.8,204.789,17.989
36,298.8,204.789,-94.011
37,206.8,204.789,-2.011
38,139.98,204.789,64.809
39,106.8,204.789,97.989
40,475.1,204.789,-270.311
41,234,204.789,-29.211
42,155.8,204.789,48.989
43,201.3,204.789,3.489
44,103.8,204.789,100.989
45,148.8,204.789,55.989
46,202.8,204.789,1.989
47,110.98,204.789,93.809
48,232.8,204.789,-28.011
49,188.8,204.789,15.989
50,347,204.789,-142.211
51,130.81,204.789,73.979
52,159.3,204.789,45.489
53,186.8,204.789,17.989
54,161.8,204.789,42.989
55,222.8,204.789,-18.011
56,240.9,204.789,-36.111
57,206.8,204.789,-2.011
58,133.8,204.789,70.989
59,144.8,204.789,59.989
60,227.3,204.789,-22.511
61,353.3,204.789,-148.511
62,130.81,204.789,73.979
63,200.8,204.789,3.989
64,147.8,204.789,56.989
65,61.98,204.789,142.809
66,215.79,204.789,-11.001
67,173.98,204.789,30.809
68,181.3,204.789,23.489
69,172.79,204.789,31.999
70,174.81,204.789,29.979
71,135.91,204.789,68.879
72,265.8,204.789,-61.011
73,185.9,204.789,18.889
74,247.9,204.789,-43.111
75,353.9,204.789,-149.111
76,221.8,204.789,-17.011
77,301.9,204.789,-97.111
78,335.8,204.789,-131.011
79,175.8,204.789,28.989
80,122.3,204.789,82.489
81,158.8,204.789,45.989
82,288.8,204.789,-84.011
83,252.8,204.789,-48.011
84,202.3,204.789,2.489
85,231.8,204.789,-27.011
86,141.8,204.789,62.989
87,171.9,204.789,32.889
88,142.8,204.789,61.989
89,207.8,204.789,-3.011
90,295.9,204.789,-91.111
91,216.81,204.789,-12.021
92,266.98,204.789,-62.191
93,124.9,204.789,79.889
94,384.9,204.789,-180.111
95,196.4,204.789,8.389
96,231.8,204.789,-27.011
97,206.8,204.789,-2.011
98,294.8,204.789,-90.011
99,265.8,204.789,-61.011
100,236.8,204.789,-32.011
101,259.81,204.789,-55.021
102,251.9,204.789,-47.111
103,368.8,204.789,-164.011
104,148.8,204.789,55.989
105,213.8,204.789,-9.011
106,145.98,204.789,58.809
107,98.8,204.789,105.989
108,410.8,204.789,-206.011
109,246.3,204.789,-41.511
110,305.89,204.789,-101.101
111,112.8,204.789,91.989
112,187.8,204.789,16.989
113,401.9,204.789,-197.111
114,238.4,204.789,-33.611
115,213.9,204.789,-9.111
116,294.8,204.789,-90.011
117,280.8,204.789,-76.011
118,174.98,204.789,29.809
119,233.9,204.789,-29.111
120,226.9,204.789,-22.111
121,315.9,204.789,-111.111
122,212.9,204.789,-8.111
123,108.8,204.789,95.989
124,246.8,204.789,-42.011
125,292.24,204.789,-87.451
126,223.9,204.789,-19.111
127,396.9,204.789,-192.111
128,169.8,204.789,34.989
129,165.9,204.789,38.889
130,103.8,204.789,100.989
131,207.8,204.789,-3.011
132,208.9,204.789,-4.111
133,115.8,204.789,88.989
134,232.8,204.789,-28.011
135,172.79,204.789,31.999
136,141.99,204.789,62.799
137,143.98,204.789,60.809
138,177.8,204.789,26.989
139,201.8,204.789,2.989
140,380.8,204.789,-176.011
141,245.8,204.789,-41.011
142,148.8,204.789,55.989
143,223.8,204.789,-19.011
144,201.8,204.789,2.989
145,170.8,204.789,33.989
146,166.9,204.789,37.889
147,335.9,204.789,-131.111
148,169.9,204.789,34.889
149,152.8,204.789,51.989
150,329.8,204.789,-125.011
151,162.8,204.789,41.989
152,176.89,204.789,27.899
153,211.8,204.789,-7.011
154,295.9,204.789,-91.111
155,279.9,204.789,-75.111
156,213.3,204.789,-8.511
157,173.9,204.789,30.889
158,236.8,204.789,-32.011
159,178.8,204.789,25.989
160,318.8,204.789,-114.011
161,174.81,204.789,29.979
162,213.8,204.789,-9.011
163,322.9,204.789,-118.111
164,170.8,204.789,33.989
165,126.8,204.789,77.989
166,161.8,204.789,42.989
167,174.98,204.789,29.809
168,216.31,204.789,-11.521
169,204.8,204.789,-0.011
170,153.8,204.789,50.989
171,172.79,204.789,31.999
172,202.8,204.789,1.989
173,230.8,204.789,-26.011
174,110.8,204.789,93.989
175,173.3,204.789,31.489
176,130.81,204.789,73.979
177,102.8,204.789,101.989
178,342.8,204.789,-138.011
179,270.9,204.789,-66.111
180,217.81,204.789,-13.021
181,242.9,204.789,-38.111
182,356.3,204.789,-151.511
183,145.98,204.789,58.809
184,203.8,204.789,0.989
185,175.8,204.789,28.989
186,226.9,204.789,-22.111
187,307.8,204.789,-103.011
188,174.81,204.789,29.979
189,139.8,204.789,64.989
190,207.8,204.789,-3.011
191,278.8,204.789,-74.011
192,62.98,204.789,141.809
193,174.81,204.789,29.979
194,277.8,204.789,-73.011
195,251.8,204.789,-47.011
196,345,204.789,-140.211
197,201.8,204.789,2.989
198,141.8,204.789,62.989
199,174.81,204.789,29.979
200,180.8,204.789,23.989
201,229.98,204.789,-25.191
202,146.98,204.789,57.809
203,347.8,204.789,-143.011
204,221.8,204.789,-17.011
205,221.8,204.789,-17.011
206,203.9,204.789,0.889
207,142.8,204.789,61.989
208,300.9,204.789,-96.111
209,178.8,204.789,25.989
210,242.9,204.789,-38.111
211,260.81,204.789,-56.021
212,78.8,204.789,125.989
213,177.8,204.789,26.989
