inst#,actual,predicted,error
1,273.8,204.749,-69.051
2,153.8,204.749,50.949
3,170.3,204.749,34.449
4,224.8,204.749,-20.051
5,153.8,204.749,50.949
6,164.8,204.749,39.949
7,172.79,204.749,31.959
8,146.8,204.749,57.949
9,132.98,204.749,71.769
10,200.8,204.749,3.949
11,98.99,204.749,105.759
12,209.8,204.749,-5.051
13,202.8,204.749,1.949
14,221.8,204.749,-17.051
15,291.8,204.749,-87.051
16,?,204.749,?
17,218.8,204.749,-14.051
18,108.98,204.749,95.769
19,147.8,204.749,56.949
20,131.81,204.749,72.939
21,124.8,204.749,79.949
22,459,204.749,-254.251
23,116.8,204.749,87.949
24,251.8,204.749,-47.051
25,268.8,204.749,-64.051
26,171.8,204.749,32.949
27,300.8,204.749,-96.051
28,126.98,204.749,77.769
29,338.9,204.749,-134.151
30,190.3,204.749,14.449
31,306,204.749,-101.251
32,117.3,204.749,87.449
33,78.8,204.749,125.949
34,130.81,204.749,73.939
35,108.8,204.749,95.949
36,214.8,204.749,-10.051
37,106.8,204.749,97.949
38,160.8,204.749,43.949
39,270,204.749,-65.251
40,343.9,204.749,-139.151
41,167.9,204.749,36.849
42,261.8,204.749,-57.051
43,153.8,204.749,50.949
44,414.9,204.749,-210.151
45,120.3,204.749,84.449
46,194.8,204.749,9.949
47,107.98,204.749,96.769
48,298.8,204.749,-94.051
49,169.8,204.749,34.949
50,255.9,204.749,-51.151
51,117.8,204.749,86.949
52,309.72,204.749,-104.971
53,154.3,204.749,50.449
54,149.8,204.749,54.949
55,149.8,204.749,54.949
56,116.8,204.749,87.949
57,122.8,204.749,81.949
58,180.8,204.749,23.949
59,174.81,204.749,29.939
60,358.11,204.749,-153.361
61,342.8,204.749,-138.051
62,207.8,204.749,-3.051
63,291.8,204.749,-87.051
64,238.8,204.749,-34.051
65,161.8,204.749,42.949
66,226.76,204.749,-22.011
67,108.8,204.749,95.949
68,250.8,204.749,-46.051
69,228.9,204.749,-24.151
70,150.8,204.749,53.949
71,126.8,204.749,77.949
72,201.4,204.749,3.349
73,148.8,204.749,55.949
74,183.8,204.749,20.949
75,183.8,204.749,20.949
