cost,destAp,arrivalTime,departAp,path,accrualPts,soldOut,departTime
234.98,BWI,09:45,AUS,AUS-BWI,1233,false,05:35
234.98,BWI,21:50,AUS,AUS-BWI,1233,false,17:35
242.80,BWI,00:25,AUS,AUS-BNA|BNA-BWI,1228,false,19:10
242.80,BWI,20:20,AUS,AUS-BNA|BNA-BWI,1228,false,14:45
242.80,BWI,00:15,AUS,AUS-ATL|ATL-BWI,1228,false,18:30
242.80,BWI,11:25,AUS,AUS-STL|STL-BWI,1228,false,05:30
242.80,BWI,18:45,AUS,AUS-HOU|HOU-BWI,1228,false,12:40
242.80,BWI,00:15,AUS,AUS-HOU|HOU-BWI,1228,false,18:10
242.80,BWI,11:40,AUS,AUS-ATL|ATL-BWI,1228,false,05:20
242.80,BWI,12:50,AUS,AUS-HOU|HOU-BWI,1228,false,06:30
242.80,BWI,00:55,AUS,AUS-MDW|MDW-BWI,1228,false,18:35
242.80,BWI,16:40,AUS,AUS-MDW|MDW-BWI,1228,false,09:45
237.90,BZE,15:45,AUS,AUS-HOU|HOU-BZE,1230,false,12:40
197.80,BHM,12:20,AUS,AUS-HOU|HOU-BHM,977,false,09:05
197.80,BHM,22:30,AUS,AUS-DAL|DAL-BHM,977,false,19:10
197.80,BHM,21:35,AUS,AUS-HOU|HOU-BHM,977,false,18:10
197.80,BHM,22:30,AUS,AUS-DAL|DAL-BHM,977,false,18:15
197.80,BHM,16:45,AUS,AUS-DAL|DAL-BHM,977,false,11:40
197.80,BHM,12:20,AUS,AUS-HOU|HOU-BHM,977,false,06:30
197.80,BHM,22:30,AUS,AUS-DAL|DAL-BHM,977,false,16:35
197.80,BHM,21:35,AUS,AUS-HOU|HOU-BHM,977,false,15:20
201.90,BHM,22:30,AUS,AUS-HOU|HOU-DAL|DAL-BHM,977,false,15:20
227.80,BHM,17:05,AUS,AUS-MDW|MDW-BHM,1145,false,09:45
148.80,BOI,00:30,AUS,AUS-DEN|DEN-BOI,704,false,19:50
148.80,BOI,13:55,AUS,AUS-SJC|SJC-BOI,704,false,06:45
148.80,BOI,00:50,AUS,AUS-OAK|OAK-BOI,704,false,16:35
187.90,BOI,00:05,AUS,AUS-OAK|OAK-LAS|LAS-BOI,899,false,16:35
187.90,BOI,00:05,AUS,AUS-SFO|SFO-LAS|LAS-BOI,899,false,15:55
213.80,BOI,15:00,AUS,AUS-DEN|DEN-BOI,1067,false,10:40
217.90,BOI,00:50,AUS,AUS-SAN|SAN-OAK|OAK-BOI,1067,false,17:00
239.30,BOI,15:15,AUS,AUS-PHX|PHX-BOI,1234,false,11:10
247.90,BOI,17:40,AUS,AUS-LBB|LBB-LAS|LAS-BOI,1234,false,11:40
247.90,BOI,17:40,AUS,AUS-PHX|PHX-LAS|LAS-BOI,1234,false,11:10
317.90,BOI,19:10,AUS,AUS-DEN|DEN-SAN|SAN-BOI,1625,false,10:40
119.80,BOS,01:30,AUS,AUS-BNA|BNA-BOS,542,false,19:10
119.80,BOS,01:10,AUS,AUS-ATL|ATL-BOS,542,false,18:30
156.80,BOS,00:15,AUS,AUS-BWI|BWI-BOS,748,false,17:35
156.80,BOS,22:00,AUS,AUS-MCI|MCI-BOS,748,false,14:05
166.80,BOS,01:10,AUS,AUS-MDW|MDW-BOS,804,false,18:35
166.80,BOS,12:55,AUS,AUS-BWI|BWI-BOS,804,false,05:35
166.80,BOS,20:15,AUS,AUS-HOU|HOU-BOS,804,false,12:40
223.98,BOS,15:30,AUS,AUS-BOS,1171,false,10:20
231.80,BOS,13:30,AUS,AUS-BNA|BNA-BOS,1167,false,07:05
235.90,BOS,19:40,AUS,AUS-DAL|DAL-BNA|BNA-BOS,1167,false,11:40
289.80,BOS,12:10,AUS,AUS-STL|STL-BOS,1491,false,05:30
171.80,BUF,12:05,AUS,AUS-BWI|BWI-BUF,832,false,05:35
171.80,BUF,00:15,AUS,AUS-BWI|BWI-BUF,832,false,17:35
204.80,BUF,01:05,AUS,AUS-MDW|MDW-BUF,1016,false,18:35
204.80,BUF,22:40,AUS,AUS-MDW|MDW-BUF,1016,false,13:55
208.90,BUF,22:25,AUS,AUS-ATL|ATL-MCO|MCO-BUF,1016,false,12:30
227.80,BUF,16:30,AUS,AUS-LAS|LAS-BUF,1145,false,06:50
