inst#,actual,predicted,error
1,273.8,224.593,-49.207
2,153.8,186.75,32.95
3,170.3,225.077,54.777
4,224.8,206.969,-17.831
5,153.8,177.5,23.7
6,164.8,186.75,21.95
7,172.79,206.969,34.179
8,146.8,198.275,51.475
9,132.98,189.024,56.044
10,200.8,211.903,11.103
11,98.99,226.867,127.877
12,209.8,203.208,-6.592
13,202.8,186.75,-16.05
14,221.8,191.684,-30.116
15,291.8,232.678,-59.122
16,?,234.145,?
17,218.8,189.024,-29.776
18,108.98,206.969,97.989
19,147.8,218.494,70.694
20,131.81,246.966,115.156
21,124.8,177.5,52.7
22,459,275.558,-183.442
23,116.8,186.75,69.95
24,251.8,177.5,-74.3
25,268.8,203.208,-65.592
26,171.8,189.024,17.224
27,300.8,224.894,-75.906
28,126.98,226.867,99.887
29,338.9,215.342,-123.558
30,190.3,203.208,12.908
31,306,237.715,-68.285
32,117.3,189.024,71.724
33,78.8,203.208,124.408
34,130.81,218.494,87.684
35,108.8,200.934,92.134
36,214.8,186.75,-28.05
37,106.8,177.5,70.7
38,160.8,177.5,16.7
39,270,241.051,-28.949
40,343.9,228.779,-115.121
41,167.9,249.82,81.92
42,261.8,236.105,-25.695
43,153.8,177.5,23.7
44,414.9,203.208,-211.692
45,120.3,225.077,104.777
46,194.8,177.5,-17.3
47,107.98,186.75,78.77
48,298.8,232.782,-66.018
49,169.8,200.934,31.134
50,255.9,229.526,-26.374
51,117.8,177.5,59.7
52,309.72,263.461,-46.259
53,154.3,191.684,37.384
54,149.8,218.494,68.694
55,149.8,224.593,74.793
56,116.8,177.5,60.7
57,122.8,177.5,54.7
58,180.8,189.024,8.224
59,174.81,206.969,32.159
60,358.11,191.684,-166.426
61,342.8,198.275,-144.525
62,207.8,218.494,10.694
63,291.8,198.275,-93.525
64,238.8,189.024,-49.776
65,161.8,177.5,15.7
66,226.76,249.82,23.06
67,108.8,177.5,68.7
68,250.8,177.5,-73.3
69,228.9,206.969,-21.931
70,150.8,206.969,56.169
71,126.8,218.494,91.694
72,201.4,186.75,-14.65
73,148.8,189.024,40.224
74,183.8,223.531,39.731
75,183.8,198.275,14.475
76,114.8,189.024,74.224
77,181.8,177.5,-4.3
78,258.79,198.275,-60.515
79,199.8,206.969,7.169
80,275.9,198.275,-77.625
81,110.8,218.494,107.694
82,148.9,206.969,58.069
83,84.98,177.5,92.52
84,340,189.024,-150.976
85,235.8,189.024,-46.776
86,248.8,186.75,-62.05
87,113.98,189.024,75.044
88,157.98,177.5,19.52
89,201.8,198.275,-3.525
90,288.9,223.531,-65.369
91,351.4,206.969,-144.431
92,165.8,189.024,23.224
93,261.8,224.894,-36.906
94,210.8,186.75,-24.05
95,166.3,177.5,11.2
96,314.8,203.208,-111.592
97,264.91,197.719,-67.191
98,243.9,218.494,-25.406
99,191.9,218.494,26.594
100,127.8,226.867,99.067
101,171.8,177.5,5.7
102,152.8,177.5,24.7
103,108.98,177.5,68.52
104,290.8,224.894,-65.906
105,121.98,198.275,76.295
106,236.8,189.024,-47.776
107,89.8,189.024,99.224
108,261.8,226.867,-34.933
109,165.8,177.5,11.7
110,205.9,191.684,-14.216
111,127.8,222.62,94.82
112,209.8,177.5,-32.3
113,344.9,221.153,-123.747
114,226.9,218.494,-8.406
115,231.8,226.19,-5.61
116,210.3,186.75,-23.55
117,225.8,197.719,-28.081
118,141.8,189.024,47.224
119,185.3,212.459,27.159
120,184.8,254.364,69.564
121,246.8,284.808,38.008
122,161.8,226.867,65.067
123,109.9,215.342,105.442
124,212.31,177.5,-34.81
125,223.98,189.024,-34.956
126,125.8,197.719,71.919
127,100.8,177.5,76.7
128,212.9,280.359,67.459
129,213.8,189.024,-24.776
130,511.3,198.275,-313.025
131,233.9,213.37,-20.53
132,277.8,189.024,-88.776
133,121.98,240.304,118.324
134,200.8,203.208,2.408
135,197.8,228.779,30.979
136,273.3,225.077,-48.223
137,263.8,206.969,-56.831
138,142.99,189.024,46.034
139,193.8,189.024,-4.776
140,92.98,215.342,122.362
141,156.9,177.5,20.6
142,183.9,206.969,23.069
143,163.8,191.684,27.884
144,109.98,177.5,67.52
145,182.8,189.024,6.224
146,113.98,177.5,63.52
147,192.8,206.969,14.169
148,?,221.153,?
149,200.8,206.969,6.169
150,100.8,261.374,160.574
151,181.4,245.853,64.453
152,148.3,206.969,58.669
153,243.9,206.969,-36.931
154,248.8,218.494,-30.306
155,235.9,221.153,-14.747
156,205.9,198.275,-7.625
157,261.8,226.867,-34.933
158,210.3,177.5,-32.8
159,358.9,206.969,-151.931
160,180.8,238.03,57.23
161,60.98,218.494,157.514
162,162.98,177.5,14.52
163,182.8,191.684,8.884
164,206.8,189.024,-17.776
165,264.3,177.5,-86.8
166,209.8,200.934,-8.866
167,142.9,232.678,89.778
168,193.9,198.275,4.375
169,94.8,209.243,114.443
170,299.9,254.547,-45.353
171,145.98,177.5,31.52
172,208.9,206.969,-1.931
173,285.8,198.275,-87.525
174,266.8,177.5,-89.3
175,299.8,215.342,-84.458
176,98.8,186.75,87.95
177,147.8,177.5,29.7
178,161.3,186.75,25.45
179,218.8,206.969,-11.831
180,154.8,198.275,43.475
181,303.3,239.261,-64.039
182,224.8,198.275,-26.525
183,146.8,186.75,39.95
184,395.9,189.024,-206.876
185,315.9,215.342,-100.558
186,155.8,177.5,21.7
187,253.9,203.208,-50.692
188,271.9,218.494,-53.406
