inst#,actual,predicted,error
1,273.8,201.169,-72.631
2,153.8,199.699,45.899
3,170.3,199.37,29.07
4,224.8,200.185,-24.615
5,153.8,200.175,46.375
6,164.8,200.333,35.533
7,172.79,200.277,27.487
8,146.8,200.354,53.554
9,132.98,200.051,67.071
10,200.8,200.232,-0.568
11,98.99,239.332,140.342
12,209.8,207.916,-1.884
13,202.8,197.364,-5.436
14,221.8,200.701,-21.099
15,291.8,208.485,-83.315
16,?,235.346,?
17,218.8,207.045,-11.755
18,108.98,200.255,91.275
19,147.8,200.082,52.282
20,131.81,200.474,68.664
21,124.8,200.113,75.313
22,459,238.384,-220.616
23,116.8,196.202,79.402
24,251.8,199.893,-51.907
25,268.8,207.423,-61.377
26,171.8,200.186,28.386
27,300.8,238.423,-62.377
28,126.98,239.607,112.627
29,338.9,238.764,-100.136
30,190.3,207.862,17.562
31,306,200.682,-105.318
32,117.3,199.781,82.481
33,78.8,207.831,129.031
34,130.81,200.278,69.468
35,108.8,196.976,88.176
36,214.8,200.467,-14.333
37,106.8,199.884,93.084
38,160.8,200.119,39.319
39,270,237.851,-32.149
40,343.9,200.89,-143.01
41,167.9,257.16,89.26
42,261.8,238.841,-22.959
43,153.8,196.01,42.21
44,414.9,207.909,-206.991
45,120.3,242.789,122.489
46,194.8,199.993,5.193
47,107.98,195.682,87.702
48,298.8,200.615,-98.185
49,169.8,200.104,30.304
50,255.9,237.261,-18.639
51,117.8,200.236,82.436
52,309.72,259.759,-49.961
53,154.3,200.366,46.066
54,149.8,200.312,50.512
55,149.8,200.402,50.602
56,116.8,200.219,83.419
57,122.8,195.708,72.908
58,180.8,199.414,18.614
59,174.81,196.173,21.363
60,358.11,196.744,-161.366
61,342.8,200.352,-142.448
62,207.8,200.377,-7.423
63,291.8,200.891,-90.909
64,238.8,200.048,-38.752
65,161.8,199.631,37.831
66,226.76,252.053,25.293
67,108.8,200.053,91.253
68,250.8,195.723,-55.077
69,228.9,202.326,-26.574
70,150.8,200.498,49.698
71,126.8,200.053,73.253
72,201.4,200.646,-0.754
73,148.8,200.093,51.293
74,183.8,207.716,23.916
75,183.8,200.715,16.915
76,114.8,199.819,85.019
77,181.8,199.504,17.704
78,258.79,200.68,-58.11
79,199.8,196.621,-3.179
80,275.9,200.661,-75.239
81,110.8,200.343,89.543
82,148.9,200.386,51.486
83,84.98,195.476,110.496
84,340,200.461,-139.539
85,235.8,200.042,-35.758
86,248.8,200.142,-48.658
87,113.98,199.894,85.914
88,157.98,199.911,41.931
89,201.8,200.336,-1.464
90,288.9,200.602,-88.298
91,351.4,200.492,-150.908
92,165.8,199.77,33.97
93,261.8,238.52,-23.28
94,210.8,199.941,-10.859
95,166.3,199.495,33.195
96,314.8,208.431,-106.369
