inst#,actual,predicted,error
1,273.8,266.333,-7.467
2,153.8,153.8,0
3,170.3,197.8,27.5
4,224.8,224.8,0
5,153.8,196.924,43.124
6,164.8,203.657,38.857
7,172.79,228.838,56.048
8,146.8,146.8,0
9,132.98,142.407,9.427
10,200.8,187.26,-13.54
11,98.99,161.495,62.505
12,209.8,213.9,4.1
13,202.8,189.845,-12.955
14,221.8,188.8,-33
15,291.8,258.79,-33.01
16,?,359.9,?
17,218.8,227.335,8.535
18,108.98,175.426,66.446
19,147.8,194.433,46.633
20,131.81,157.303,25.493
21,124.8,124.8,0
22,459,459,0
23,116.8,120.9,4.1
24,251.8,178.98,-72.82
25,268.8,201.8,-67
26,171.8,188.9,17.1
27,300.8,266.8,-34
28,126.98,172.156,45.176
29,338.9,275.94,-62.96
30,190.3,190.3,0
31,306,177.8,-128.2
32,117.3,148.436,31.136
33,78.8,84.872,6.072
34,130.81,166.112,35.302
35,108.8,104.3,-4.5
36,214.8,144.8,-70
37,106.8,122.824,16.024
38,160.8,175.27,14.47
39,270,288.48,18.48
40,343.9,242.157,-101.742
41,167.9,253.9,86
42,261.8,238.445,-23.355
43,153.8,173.81,20.01
44,414.9,230.8,-184.1
45,120.3,209.967,89.667
46,194.8,161.39,-33.41
47,107.98,122.696,14.716
48,298.8,258.804,-39.996
49,169.8,209.86,40.06
50,255.9,209.8,-46.1
51,117.8,137.256,19.456
52,309.72,254.6,-55.12
53,154.3,210.16,55.86
54,149.8,186.237,36.437
55,149.8,149.8,0
56,116.8,141.569,24.769
57,122.8,118.3,-4.5
58,180.8,179.3,-1.5
59,174.81,174.81,-0
60,358.11,291.9,-66.21
61,342.8,235.467,-107.333
62,207.8,266.8,59
63,291.8,258.3,-33.5
64,238.8,180.8,-58
65,161.8,153.4,-8.4
66,226.76,195.8,-30.96
67,108.8,119.44,10.64
68,250.8,235.9,-14.9
69,228.9,228.9,0
70,150.8,169.254,18.454
71,126.8,110.8,-16
72,201.4,197.3,-4.1
73,148.8,209,60.2
74,183.8,183.8,0
75,183.8,215.79,31.99
76,114.8,127.111,12.311
77,181.8,224.657,42.857
78,258.79,226.13,-32.66
79,199.8,263.91,64.11
80,275.9,224.635,-51.265
81,110.8,160.804,50.004
82,148.9,199.72,50.82
83,84.98,95.313,10.333
84,340,331.8,-8.2
85,235.8,185.897,-49.903
86,248.8,186.8,-62
87,113.98,158.702,44.722
88,157.98,165.69,7.71
89,201.8,263.8,62
90,288.9,235.8,-53.1
91,351.4,316.35,-35.05
92,165.8,182.55,16.75
93,261.8,310.8,49
94,210.8,197.322,-13.478
95,166.3,170.8,4.5
96,314.8,314.8,0
97,264.91,215.731,-49.179
98,243.9,280.567,36.667
99,191.9,191.9,0
100,127.8,136.8,9
101,171.8,171.8,0
102,152.8,169.04,16.24
103,108.98,122.839,13.859
104,290.8,265.85,-24.95
105,121.98,138.816,16.836
106,236.8,237.62,0.82
107,89.8,140.189,50.389
108,261.8,201.133,-60.667
109,165.8,203.8,38
110,205.9,205.9,0
111,127.8,122.2,-5.6
112,209.8,131.984,-77.816
113,344.9,396.1,51.2
114,226.9,405.05,178.15
115,231.8,234.533,2.733
116,210.3,265.3,55
117,225.8,215.731,-10.069
118,141.8,150.004,8.204
119,185.3,177.3,-8
120,184.8,203.517,18.717
121,246.8,179.3,-67.5
122,161.8,196.98,35.18
123,109.9,109.9,0
124,212.31,266.8,54.49
125,223.98,241.54,17.56
126,125.8,165.8,40
127,100.8,123.714,22.914
128,212.9,357.9,145
129,213.8,232.797,18.997
130,511.3,207.8,-303.5
131,233.9,229.8,-4.1
132,277.8,246.18,-31.62
133,121.98,182.616,60.636
134,200.8,200.8,0
135,197.8,205.754,7.954
136,273.3,263.3,-10
137,263.8,208.863,-54.937
138,142.99,149.774,6.784
139,193.8,192.1,-1.7
140,92.98,130.951,37.971
141,156.9,229.9,73
142,183.9,171.98,-11.92
143,163.8,165.153,1.353
144,109.98,150.746,40.766
145,182.8,191.967,9.167
146,113.98,139.82,25.84
147,192.8,192.8,0
148,?,351,?
149,200.8,168.8,-32
150,100.8,96.3,-4.5
151,181.4,219.567,38.167
152,148.3,201.3,53
153,243.9,264.167,20.267
154,248.8,336.9,88.1
155,235.9,217.183,-18.717
156,205.9,203.85,-2.05
157,261.8,261.8,0
158,210.3,204.318,-5.982
159,358.9,295.8,-63.1
160,180.8,156.72,-24.08
161,60.98,63.647,2.667
162,162.98,179.71,16.73
163,182.8,161.8,-21
164,206.8,210.9,4.1
165,264.3,211.294,-53.006
166,209.8,211.85,2.05
167,142.9,150.6,7.7
168,193.9,191.85,-2.05
169,94.8,121.4,26.6
170,299.9,132.55,-167.35
171,145.98,208.511,62.531
172,208.9,295.8,86.9
173,285.8,279.967,-5.833
174,266.8,193.879,-72.921
175,299.8,245.8,-54
176,98.8,150.8,52
177,147.8,182.222,34.422
178,161.3,165.8,4.5
179,218.8,228.5,9.7
180,154.8,120.223,-34.577
181,303.3,273.3,-30
182,224.8,224.8,0
183,146.8,175.082,28.282
184,395.9,324.8,-71.1
185,315.9,239.8,-76.1
186,155.8,165.137,9.337
187,253.9,230,-23.9
188,271.9,208.855,-63.045
189,239.8,223.133,-16.667
190,263.91,181.8,-82.11
191,207.8,233.9,26.1
192,129.79,179.106,49.316
193,183.8,173.47,-10.33
194,117.8,117.8,0
195,286.8,157.325,-129.475
196,216.81,248.85,32.04
197,185.9,224.8,38.9
198,210.8,261.8,51
199,127.8,127.8,0
200,323.3,283.3,-40
201,259.9,185.714,-74.186
202,313.9,269.8,-44.1
203,232.8,185.543,-47.257
204,277.4,262.567,-14.833
205,245.8,165.9,-79.9
206,194.8,191.838,-2.963
207,189.8,212.314,22.514
208,226.9,222.8,-4.1
209,194.8,236.3,41.5
210,146.3,161.707,15.407
211,64.98,64.98,0
212,229.3,233.8,4.5
213,194.8,193.586,-1.214
214,314.8,314.8,0
215,298.9,283.85,-15.05
216,233.8,267.9,34.1
217,220.8,246.136,25.336
218,220.8,220.8,-0
219,274.8,198.8,-76
220,181.8,184.26,2.46
221,138.8,196.85,58.05
222,171.8,205.304,33.504
223,256.8,256.167,-0.633
224,201.8,203.167,1.367
225,190,238.9,48.9
226,161.8,167.8,6
227,256.8,249.66,-7.14
228,202.8,229.533,26.733
229,225.9,225.9,0
